Date,TCS,INFY,WIPRO,HCLTECH,HDFCBANK,ICICIBANK,SBIN,AXISBANK,KOTAKBANK,RELIANCE,ITC,MARUTI,SUNPHARMA,LT,BHARTIARTL,ADANIENT,JSWSTEEL,HINDALCO,BAJFINANCE
2026-01-06,3154.892578125,1612.199951171875,258.9154357910156,1574.5313720703125,962.2000122070312,1411.199951171875,1000.8594360351562,1293.800048828125,429.2799987792969,1507.5999755859375,326.5248107910156,17292.0,1748.83984375,4100.54833984375,2105.300048828125,2259.10009765625,1176.300048828125,942.25,977.3499755859375
2026-01-07,3193.458984375,1639.0,263.98455810546875,1605.1197509765625,949.0499877929688,1427.699951171875,989.3175048828125,1295.5,428.79998779296875,1504.199951171875,325.3805847167969,16809.0,1771.0953369140625,4116.7900390625,2084.199951171875,2274.10009765625,1189.800048828125,938.4500122070312,968.7999877929688
2026-01-08,3104.60107421875,1613.300048828125,255.6010284423828,1604.1456298828125,946.7000122070312,1435.0,980.3294677734375,1286.800048828125,426.6000061035156,1470.5999755859375,325.0468444824219,16664.0,1749.336669921875,3989.43359375,2066.300048828125,2214.0,1155.9000244140625,903.9500122070312,971.9500122070312
2026-01-09,3108.38037109375,1614.0999755859375,255.35731506347656,1618.4656982421875,939.0,1404.300048828125,982.7852172851562,1272.0,425.3599853515625,1475.300048828125,321.47125244140625,16501.0,1718.7354736328125,3986.2646484375,2027.0999755859375,2153.699951171875,1158.800048828125,900.9500122070312,959.5999755859375
2026-01-12,3139.194580078125,1595.9000244140625,256.4783630371094,1624.5054931640625,936.9500122070312,1413.0999755859375,997.1758422851562,1274.199951171875,426.6600036621094,1483.199951171875,322.6631164550781,16582.0,1724.7960205078125,3980.124755859375,2044.0,2171.60009765625,1182.699951171875,920.1500244140625,951.9000244140625
2026-01-13,3166.71435546875,1599.0,257.5506896972656,1621.97265625,937.3499755859375,1437.0,1010.2402954101562,1262.0,426.5199890136719,1452.800048828125,319.13519287109375,16426.0,1717.5430908203125,3849.797607421875,2026.9000244140625,2158.5,1178.0999755859375,936.2999877929688,949.0
2026-01-14,3093.55419921875,1599.800048828125,253.6513671875,1625.3822021484375,925.4500122070312,1418.4000244140625,1010.14208984375,1298.800048828125,421.0,1458.800048828125,319.182861328125,16152.0,1689.723876953125,3828.40673828125,2022.5,2153.300048828125,1181.800048828125,955.3499755859375,945.9500122070312
2026-01-15,3093.55419921875,1599.800048828125,253.6513671875,1625.3822021484375,925.4500122070312,1418.4000244140625,1010.14208984375,1298.800048828125,421.0,1458.800048828125,319.182861328125,16152.0,1689.723876953125,3828.40673828125,2022.5,2153.300048828125,1181.800048828125,955.3499755859375,945.9500122070312
2026-01-16,3163.8017578125,1689.800048828125,260.7189025878906,1666.1026611328125,931.0999755859375,1410.800048828125,1023.8451538085938,1294.199951171875,418.20001220703125,1457.9000244140625,313.8909606933594,15859.0,1658.129150390625,3819.097412109375,2016.4000244140625,2157.300048828125,1187.300048828125,934.6500244140625,950.25
2026-01-19,3121.278564453125,1681.199951171875,239.75997924804688,1684.549560546875,927.9000244140625,1380.5999755859375,1020.0142211914062,1307.5,426.8999938964844,1413.5999755859375,317.7049255371094,16176.0,1664.587158203125,3832.367919921875,2010.0,2134.60009765625,1184.0999755859375,939.9500122070312,969.4500122070312
2026-01-20,3060.798583984375,1658.9000244140625,233.86224365234375,1655.603759765625,931.2000122070312,1375.800048828125,1018.0496215820312,1293.5,423.79998779296875,1394.0,311.12579345703125,15879.0,1603.384765625,3773.6416015625,1996.0,2055.10009765625,1160.0,928.0999755859375,933.2000122070312
2026-01-21,3080.826904296875,1654.4000244140625,233.5210723876953,1650.893798828125,920.3499755859375,1349.0,1010.4368286132812,1284.9000244140625,421.6000061035156,1404.5999755859375,309.64788818359375,15770.0,1602.4906005859375,3730.067138671875,1996.0999755859375,2032.199951171875,1174.5999755859375,939.2000122070312,936.25
2026-01-22,3108.2548828125,1663.5,234.59336853027344,1671.1068115234375,918.7000122070312,1345.5,1029.7879638671875,1294.800048828125,426.0,1402.5,309.7432556152344,15765.0,1623.653076171875,3757.10302734375,2002.199951171875,2086.39990234375,1184.4000244140625,944.4500122070312,942.8499755859375
2026-01-23,3120.193115234375,1670.800048828125,232.39999389648438,1674.93359375,916.0999755859375,1343.4000244140625,1011.271728515625,1258.0,422.79998779296875,1386.0999755859375,308.36065673828125,15469.0,1621.367919921875,3707.586669921875,1984.699951171875,1864.199951171875,1170.0,950.2999877929688,927.8499755859375
2026-01-27,3115.75341796875,1682.699951171875,234.8000030517578,1687.8856201171875,926.4000244140625,1361.4000244140625,1034.5030517578125,1315.800048828125,408.70001220703125,1380.5,303.83154296875,15245.0,1628.32275390625,3751.1611328125,1973.4000244140625,1959.5,1222.0,961.8499755859375,914.7000122070312
2026-01-28,3157.290283203125,1666.5,237.35000610351562,1697.1090087890625,932.7000122070312,1367.699951171875,1044.6697998046875,1319.800048828125,412.3999938964844,1396.699951171875,306.2153015136719,14877.0,1600.205322265625,3757.301025390625,1957.699951171875,1994.699951171875,1218.699951171875,998.2000122070312,935.1500244140625
2026-01-29,3102.335205078125,1659.5,239.8000030517578,1689.25927734375,935.5,1383.5999755859375,1047.3218994140625,1363.699951171875,412.3999938964844,1391.0,303.7839050292969,14502.0,1579.04296875,3894.857421875,1967.9000244140625,2019.199951171875,1237.5,1024.050048828125,935.1500244140625
2026-01-30,3082.109375,1641.0,236.89999389648438,1663.7476806640625,929.25,1355.0,1058.078125,1370.4000244140625,408.0,1395.4000244140625,307.1687927246094,14599.0,1585.004150390625,3894.263427734375,1968.699951171875,2020.4000244140625,1214.4000244140625,962.5999755859375,929.8499755859375
2026-02-02,3127.1982421875,1629.4000244140625,242.3000030517578,1645.3009033203125,928.0999755859375,1352.800048828125,1010.4859008789062,1311.5,408.20001220703125,1390.4000244140625,300.06524658203125,14384.0,1617.393798828125,3883.369873046875,1965.4000244140625,1995.4000244140625,1199.199951171875,930.5,903.7000122070312
2026-02-03,3182.153076171875,1656.0,242.69000244140625,1663.4534912109375,948.7000122070312,1389.699951171875,1045.3572998046875,1356.199951171875,415.79998779296875,1437.0999755859375,301.924560546875,14782.0,1691.1148681640625,3999.733154296875,1997.300048828125,2202.60009765625,1229.4000244140625,955.2999877929688,964.4000244140625
2026-02-04,2958.979248046875,1535.800048828125,233.33999633789062,1591.3341064453125,953.0999755859375,1408.4000244140625,1049.2864990234375,1338.699951171875,412.3500061035156,1456.800048828125,305.5264587402344,15071.0,1693.4000244140625,4047.566162109375,2025.800048828125,2228.199951171875,1228.199951171875,964.9500122070312,963.2999877929688
2026-02-05,2951.480712890625,1520.199951171875,233.38999938964844,1579.7557373046875,949.7000122070312,1396.5,1054.49267578125,1330.5999755859375,408.75,1443.4000244140625,301.9732666015625,15059.0,1702.5999755859375,4023.996337890625,1992.4000244140625,2236.60009765625,1239.800048828125,935.4500122070312,964.75
2026-02-06,2902.248291015625,1507.0999755859375,230.72000122070312,1563.761962890625,941.0999755859375,1406.0999755859375,1047.5184326171875,1341.5999755859375,422.3500061035156,1450.800048828125,317.1595153808594,14997.0,1695.0999755859375,4028.749755859375,2038.4000244140625,2226.39990234375,1236.199951171875,942.5499877929688,981.7000122070312
2026-02-09,2908.760009765625,1497.199951171875,230.0800018310547,1571.906005859375,937.25,1396.300048828125,1125.708984375,1341.4000244140625,428.79998779296875,1461.5999755859375,314.23907470703125,14978.0,1704.5999755859375,4073.809814453125,2038.199951171875,2250.10009765625,1245.0,964.25,983.1500244140625
2026-02-10,2944.673095703125,1497.800048828125,231.47000122070312,1543.5489501953125,932.4000244140625,1406.5,1123.8426513671875,1356.699951171875,429.29998779296875,1458.5,312.876220703125,15146.0,1707.800048828125,4128.673828125,2011.300048828125,2228.39990234375,1244.0999755859375,968.9000244140625,965.5999755859375
